num,auc,disease
4,0.72,Behcet
5,0.7359090909090911,Behcet
6,0.7359090909090911,Behcet
7,0.747575757575758,Behcet
8,0.8016666666666665,Behcet
9,0.8216666666666668,Behcet
10,0.813333333333333,Behcet
11,0.7933333333333331,Behcet
12,0.7725757575757577,Behcet
13,0.809242424242424,Behcet
14,0.846666666666667,Behcet
15,0.8216666666666668,Behcet
16,0.7834848484848482,Behcet
17,0.7925757575757578,Behcet
18,0.7834848484848482,Behcet
19,0.7834848484848482,Behcet
20,0.7634848484848487,Behcet
21,0.7834848484848482,Behcet
22,0.7834848484848482,Behcet
23,0.7834848484848482,Behcet
24,0.7634848484848487,Behcet
25,0.7751515151515153,Behcet
26,0.7951515151515152,Behcet
27,0.815151515151515,Behcet
28,0.815151515151515,Behcet
29,0.7951515151515152,Behcet
30,0.8034848484848482,Behcet
31,0.8034848484848482,Behcet
32,0.7834848484848482,Behcet
33,0.7951515151515152,Behcet
34,0.7951515151515152,Behcet
35,0.7751515151515153,Behcet
36,0.7918181818181816,Behcet
37,0.7918181818181816,Behcet
38,0.7834848484848482,Behcet
39,0.7918181818181816,Behcet
40,0.7918181818181816,Behcet
41,0.7918181818181816,Behcet
42,0.7918181818181816,Behcet
43,0.7918181818181816,Behcet
44,0.7918181818181816,Behcet
45,0.7918181818181816,Behcet
46,0.811818181818182,Behcet
47,0.8034848484848482,Behcet
48,0.8034848484848482,Behcet
49,0.7834848484848482,Behcet
50,0.7834848484848482,Behcet
51,0.8034848484848482,Behcet
52,0.811818181818182,Behcet
53,0.8318181818181819,Behcet
54,0.8318181818181819,Behcet
55,0.8318181818181819,Behcet
56,0.8318181818181819,Behcet
57,0.8318181818181819,Behcet
58,0.8318181818181819,Behcet
59,0.8318181818181819,Behcet
60,0.8068181818181818,Behcet
61,0.8068181818181818,Behcet
62,0.8068181818181818,Behcet
63,0.8068181818181818,Behcet
64,0.8227272727272724,Behcet
65,0.8227272727272724,Behcet
66,0.8227272727272724,Behcet
67,0.8227272727272724,Behcet
68,0.8143939393939394,Behcet
69,0.8143939393939394,Behcet
70,0.8143939393939394,Behcet
71,0.8143939393939394,Behcet
72,0.8143939393939394,Behcet
73,0.8143939393939394,Behcet
74,0.8143939393939394,Behcet
75,0.8143939393939394,Behcet
76,0.8143939393939394,Behcet
77,0.7943939393939397,Behcet
78,0.7943939393939397,Behcet
79,0.7943939393939397,Behcet
80,0.7943939393939397,Behcet
81,0.7943939393939397,Behcet
82,0.7943939393939397,Behcet
83,0.7943939393939397,Behcet
84,0.7943939393939397,Behcet
85,0.7943939393939397,Behcet
86,0.7943939393939397,Behcet
87,0.7943939393939397,Behcet
88,0.7943939393939397,Behcet
89,0.7943939393939397,Behcet
90,0.7943939393939397,Behcet
91,0.7943939393939397,Behcet
92,0.7943939393939397,Behcet
93,0.7943939393939397,Behcet
94,0.7943939393939397,Behcet
95,0.7943939393939397,Behcet
96,0.8143939393939394,Behcet
97,0.8234848484848487,Behcet
98,0.8234848484848487,Behcet
99,0.8234848484848487,Behcet
100,0.8234848484848487,Behcet
101,0.8234848484848487,Behcet
102,0.8234848484848487,Behcet
103,0.8234848484848487,Behcet
104,0.8234848484848487,Behcet
105,0.8234848484848487,Behcet
106,0.8234848484848487,Behcet
107,0.8234848484848487,Behcet
108,0.8234848484848487,Behcet
109,0.8234848484848487,Behcet
110,0.8234848484848487,Behcet
111,0.8234848484848487,Behcet
112,0.8143939393939394,Behcet
113,0.8234848484848487,Behcet
114,0.8234848484848487,Behcet
115,0.8234848484848487,Behcet
116,0.8234848484848487,Behcet
117,0.8234848484848487,Behcet
118,0.8234848484848487,Behcet
119,0.7901515151515148,Behcet
120,0.7901515151515148,Behcet
121,0.7901515151515148,Behcet
122,0.7901515151515148,Behcet
123,0.815151515151515,Behcet
124,0.815151515151515,Behcet
125,0.7901515151515148,Behcet
126,0.7901515151515148,Behcet
127,0.7901515151515148,Behcet
128,0.7901515151515148,Behcet
129,0.7901515151515148,Behcet
130,0.7901515151515148,Behcet
131,0.7901515151515148,Behcet
132,0.7901515151515148,Behcet
133,0.7901515151515148,Behcet
134,0.7901515151515148,Behcet
135,0.7901515151515148,Behcet
136,0.7901515151515148,Behcet
137,0.7901515151515148,Behcet
138,0.7901515151515148,Behcet
139,0.7901515151515148,Behcet
140,0.8101515151515155,Behcet
141,0.8101515151515155,Behcet
142,0.8101515151515155,Behcet
143,0.7901515151515148,Behcet
144,0.7901515151515148,Behcet
145,0.7901515151515148,Behcet
146,0.7901515151515148,Behcet
147,0.7901515151515148,Behcet
148,0.7651515151515151,Behcet
149,0.7901515151515148,Behcet
150,0.7901515151515148,Behcet
151,0.7901515151515148,Behcet
152,0.7901515151515148,Behcet
153,0.7901515151515148,Behcet
154,0.7901515151515148,Behcet
155,0.7651515151515151,Behcet
156,0.7651515151515151,Behcet
157,0.7651515151515151,Behcet
158,0.7651515151515151,Behcet
159,0.7651515151515151,Behcet
160,0.7651515151515151,Behcet
161,0.7651515151515151,Behcet
162,0.7651515151515151,Behcet
163,0.7651515151515151,Behcet
164,0.7651515151515151,Behcet
165,0.7651515151515151,Behcet
166,0.7651515151515151,Behcet
167,0.7651515151515151,Behcet
168,0.7651515151515151,Behcet
169,0.7451515151515152,Behcet
170,0.7451515151515152,Behcet
171,0.7451515151515152,Behcet
172,0.7451515151515152,Behcet
173,0.7451515151515152,Behcet
174,0.7451515151515152,Behcet
175,0.7451515151515152,Behcet
176,0.7451515151515152,Behcet
177,0.7451515151515152,Behcet
178,0.7451515151515152,Behcet
179,0.7251515151515152,Behcet
180,0.7251515151515152,Behcet
181,0.7251515151515152,Behcet
182,0.7451515151515152,Behcet
183,0.7251515151515152,Behcet
184,0.7251515151515152,Behcet
185,0.7251515151515152,Behcet
186,0.7251515151515152,Behcet
187,0.7451515151515152,Behcet
188,0.7451515151515152,Behcet
189,0.7451515151515152,Behcet
190,0.7251515151515152,Behcet
191,0.7251515151515152,Behcet
192,0.7251515151515152,Behcet
193,0.7251515151515152,Behcet
194,0.7251515151515152,Behcet
